id;region;fed_okr;tipnp;Q1;Q2;Q3;Q4;Q5;Q6;Q7;AGE;EDU;GENDER;PROF;INCOME
41;77;1;1;3;0;3;4;4;97;7;64;3;1;1;8
42;47;2;6;3;0;4;4;1;97;7;65;5;2;1;9
43;77;1;1;3;0;3;2;2;97;7;61;3;1;1;9
44;16;5;6;0;3;2;4;4;7;5;59;5;1;1;6
45;66;6;2;0;2;4;4;4;97;3;59;3;2;1;7
46;78;2;1;0;3;4;4;1;97;3;59;5;1;1;9
47;56;5;3;3;2;1;1;4;1;7;33;5;2;1;8
48;78;2;1;3;2;1;4;4;5;97;58;3;2;1;9
49;24;7;6;3;3;4;2;4;97;3;55;2;2;1;7
50;66;6;6;3;3;4;4;4;97;3;60;3;2;1;7
51;39;2;6;0;0;4;1;2;2;6;25;3;1;2;8
52;30;3;6;2;0;4;1;1;3;2;34;3;2;2;5
53;38;7;4;3;0;4;1;4;7;7;45;4;1;2;5
54;48;1;3;3;0;4;4;4;97;2;28;3;2;2;5
55;68;1;7;3;0;3;2;2;97;4;55;3;2;2;7
56;50;1;4;2;2;2;3;3;6;4;23;4;1;2;9
57;30;3;6;2;2;3;1;1;3;2;30;3;1;2;6
58;78;2;1;3;2;4;1;1;7;97;19;2;2;2;9
59;18;5;3;0;1;1;4;4;3;3;30;3;2;3;6
60;21;5;4;0;1;2;2;2;4;3;40;3;1;3;8
61;59;5;7;0;1;4;3;2;5;2;35;5;2;3;5
62;16;5;5;0;1;2;3;3;4;3;40;3;1;3;6
63;47;2;5;0;1;2;4;4;3;3;43;3;1;3;7
64;54;7;2;0;1;1;4;4;5;3;55;5;2;3;8
65;77;1;1;0;1;2;2;2;4;5;52;3;2;3;9
66;22;7;6;0;1;4;1;1;6;2;50;3;2;3;5
67;39;2;6;0;1;3;3;3;7;4;54;5;2;3;6
68;48;1;3;0;1;2;2;3;3;2;45;3;2;3;7
69;86;6;4;0;1;2;1;4;4;3;46;3;2;3;8
70;23;3;3;0;1;1;4;4;5;3;47;5;2;3;8
71;39;2;6;0;1;3;3;3;7;5;59;3;1;3;8
72;74;6;7;0;1;2;1;3;7;5;40;3;2;3;6
73;38;7;4;0;1;4;2;2;7;7;42;1;1;3;6
74;66;6;7;0;1;1;2;2;6;6;55;3;2;3;5
75;47;2;7;0;1;4;2;2;6;5;58;2;2;3;8
76;66;6;5;0;1;4;1;1;5;5;54;5;2;3;9
77;39;2;4;0;0;4;4;2;7;6;51;3;1;3;9
78;74;6;2;0;0;4;1;1;3;6;45;5;1;3;8
79;25;8;3;1;0;2;3;3;6;97;23;2;1;3;8
80;25;8;3;1;0;2;4;4;6;97;49;3;2;3;8
81;78;2;1;1;0;4;1;1;7;97;45;5;1;3;9
82;26;5;4;0;0;2;3;3;97;3;22;3;2;3;6
83;23;3;7;0;0;4;2;1;97;2;30;3;2;3;7
84;64;5;4;0;0;4;4;4;97;2;30;2;1;3;7
85;47;2;7;0;0;4;2;2;97;7;27;2;1;3;9
86;48;1;3;0;0;4;1;1;97;3;42;3;2;3;5
87;64;5;4;0;0;4;4;4;97;3;44;3;1;3;6
88;33;1;7;0;0;1;3;4;97;4;43;3;2;3;6
89;66;6;7;0;0;3;2;1;97;5;35;2;1;3;6
90;23;3;3;0;0;4;3;2;97;5;35;5;2;3;8
91;73;5;6;0;0;4;4;4;97;5;51;2;2;3;4
92;52;5;5;0;0;1;3;3;97;3;48;5;2;3;5
93;46;1;4;0;0;2;1;1;97;4;55;3;1;3;5
94;50;1;7;0;1;3;4;3;97;2;52;3;2;3;6
95;18;5;7;0;1;1;2;3;97;3;48;3;2;3;6
96;33;1;7;0;1;1;3;4;97;3;53;3;2;3;6
97;64;5;3;0;1;4;4;4;97;4;54;3;2;3;6
98;66;6;4;0;1;4;2;2;97;4;54;3;2;3;6
99;52;5;2;0;1;2;4;4;97;5;47;2;1;3;6
100;66;6;2;0;1;4;4;4;97;5;49;2;2;3;6
101;33;1;4;0;1;2;4;4;97;2;54;2;2;3;7
102;78;2;1;0;1;2;3;3;97;2;57;3;1;3;7
103;48;1;7;0;0;3;3;3;97;3;56;3;1;3;7
104;50;1;7;0;0;4;4;4;97;3;46;3;1;3;7
105;50;1;6;0;0;4;4;4;97;4;48;5;1;3;7
106;2;5;6;0;0;2;4;4;97;5;50;3;2;3;7
107;47;2;7;0;0;4;4;4;97;2;45;3;2;3;8
108;47;2;7;0;0;3;2;4;97;5;57;2;2;3;8
109;23;3;3;2;0;4;1;1;2;1;24;3;2;3;7
110;2;5;2;2;0;2;3;4;4;2;21;3;2;3;8
111;39;2;6;2;0;4;4;2;7;1;20;3;1;3;9
112;77;1;1;2;0;4;2;2;6;2;34;3;1;3;8
113;2;5;2;2;0;2;3;3;5;3;30;5;2;3;8
114;2;5;2;2;0;2;3;3;5;5;32;3;1;3;9
115;36;1;7;2;0;3;1;1;5;3;34;3;1;3;5
116;46;1;4;2;0;4;1;1;3;2;25;3;2;3;6
117;46;1;7;2;0;2;3;3;3;2;25;5;2;3;6
118;48;1;7;2;0;4;1;1;3;3;34;3;2;3;6
119;26;5;6;2;0;3;2;2;4;3;25;3;1;3;6
120;18;5;7;2;0;3;2;3;4;4;29;2;2;3;6
121;54;7;7;2;0;4;2;2;4;4;32;3;2;3;6
122;66;6;2;2;0;2;3;3;6;5;25;5;2;3;6
123;50;1;5;2;0;2;3;3;2;1;31;3;2;3;7
124;18;5;3;2;0;1;4;4;3;3;33;3;1;3;7
125;71;1;6;2;1;2;3;3;5;3;28;2;1;3;8
126;47;2;6;2;1;2;2;2;5;4;26;4;2;3;8
127;50;1;4;2;1;1;3;2;7;3;26;3;1;3;9
128;26;5;6;2;1;2;3;3;7;5;25;5;2;3;9
129;50;1;5;2;1;4;2;2;6;1;39;3;2;3;8
130;47;2;7;2;1;2;2;2;2;3;37;3;2;3;8
131;66;6;7;2;1;1;4;4;5;4;39;2;2;3;8
132;24;7;6;2;1;2;2;2;5;5;38;5;2;3;8
133;36;1;7;2;0;4;4;4;7;3;41;3;2;3;5
